wrong_image,true_label,predicted_label,similar_image,similarity
/content/gdrive/MyDrive/9517 project/data/test/Grassland/513.jpg,Grassland,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/578.jpg,0.7528849
/content/gdrive/MyDrive/9517 project/data/test/Grassland/518.jpg,Grassland,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/131.jpg,0.78037155
/content/gdrive/MyDrive/9517 project/data/test/Grassland/575.jpg,Grassland,Residential,/content/gdrive/MyDrive/9517 project/data/test/Residential/753.jpg,0.8526802
/content/gdrive/MyDrive/9517 project/data/test/Grassland/594.jpg,Grassland,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/056.jpg,0.877236
/content/gdrive/MyDrive/9517 project/data/test/Grassland/742.jpg,Grassland,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/053.jpg,0.8719753
/content/gdrive/MyDrive/9517 project/data/test/Highway/082.jpg,Highway,Residential,/content/gdrive/MyDrive/9517 project/data/test/Residential/099.jpg,0.9023808
/content/gdrive/MyDrive/9517 project/data/test/Highway/185.jpg,Highway,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/583.jpg,0.879442
/content/gdrive/MyDrive/9517 project/data/test/Highway/207.jpg,Highway,Residential,/content/gdrive/MyDrive/9517 project/data/test/Residential/180.jpg,0.7876853
/content/gdrive/MyDrive/9517 project/data/test/Highway/368.jpg,Highway,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/675.jpg,0.82655156
/content/gdrive/MyDrive/9517 project/data/test/Lake/097.jpg,Lake,River,/content/gdrive/MyDrive/9517 project/data/test/River/278.jpg,0.82705355
/content/gdrive/MyDrive/9517 project/data/test/Lake/604.jpg,Lake,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/195.jpg,0.77631116
/content/gdrive/MyDrive/9517 project/data/test/Mountain/501.jpg,Mountain,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/117.jpg,0.83839715
/content/gdrive/MyDrive/9517 project/data/test/Mountain/730.jpg,Mountain,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/637.jpg,0.8072882
/content/gdrive/MyDrive/9517 project/data/test/Parking/001.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/396.jpg,0.8464354
/content/gdrive/MyDrive/9517 project/data/test/Parking/112.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/794.jpg,0.8514036
/content/gdrive/MyDrive/9517 project/data/test/Parking/523.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/543.jpg,0.9002757
/content/gdrive/MyDrive/9517 project/data/test/Parking/692.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/794.jpg,0.86253667
/content/gdrive/MyDrive/9517 project/data/test/Parking/709.jpg,Parking,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/743.jpg,0.8005575
/content/gdrive/MyDrive/9517 project/data/test/Port/505.jpg,Port,Beach,/content/gdrive/MyDrive/9517 project/data/test/Beach/691.jpg,0.8700838
/content/gdrive/MyDrive/9517 project/data/test/Railway/189.jpg,Railway,City,/content/gdrive/MyDrive/9517 project/data/test/City/275.jpg,0.89198714
/content/gdrive/MyDrive/9517 project/data/test/Railway/204.jpg,Railway,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/685.jpg,0.89682305
/content/gdrive/MyDrive/9517 project/data/test/Railway/370.jpg,Railway,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/597.jpg,0.8670174
/content/gdrive/MyDrive/9517 project/data/test/Railway/426.jpg,Railway,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/456.jpg,0.8575341
/content/gdrive/MyDrive/9517 project/data/test/Residential/134.jpg,Residential,City,/content/gdrive/MyDrive/9517 project/data/test/City/484.jpg,0.79528606
/content/gdrive/MyDrive/9517 project/data/test/River/052.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/217.jpg,0.7608739
/content/gdrive/MyDrive/9517 project/data/test/River/082.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/437.jpg,0.7395078
/content/gdrive/MyDrive/9517 project/data/test/River/099.jpg,River,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/149.jpg,0.7272732
/content/gdrive/MyDrive/9517 project/data/test/River/133.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/186.jpg,0.86087775
/content/gdrive/MyDrive/9517 project/data/test/River/155.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/663.jpg,0.80846715
/content/gdrive/MyDrive/9517 project/data/test/River/172.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/558.jpg,0.8352666
/content/gdrive/MyDrive/9517 project/data/test/River/200.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/018.jpg,0.70797455
/content/gdrive/MyDrive/9517 project/data/test/River/236.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/278.jpg,0.72876513
/content/gdrive/MyDrive/9517 project/data/test/River/245.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/018.jpg,0.6713599
/content/gdrive/MyDrive/9517 project/data/test/River/283.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/122.jpg,0.7853972
/content/gdrive/MyDrive/9517 project/data/test/River/369.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/404.jpg,0.7746625
/content/gdrive/MyDrive/9517 project/data/test/River/419.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/198.jpg,0.7627899
/content/gdrive/MyDrive/9517 project/data/test/River/450.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/437.jpg,0.8475958
/content/gdrive/MyDrive/9517 project/data/test/River/464.jpg,River,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/171.jpg,0.6636754
/content/gdrive/MyDrive/9517 project/data/test/River/494.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/129.jpg,0.6937232
/content/gdrive/MyDrive/9517 project/data/test/River/496.jpg,River,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/381.jpg,0.8232682
/content/gdrive/MyDrive/9517 project/data/test/River/525.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/122.jpg,0.74948823
/content/gdrive/MyDrive/9517 project/data/test/River/535.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/419.jpg,0.8194195
/content/gdrive/MyDrive/9517 project/data/test/River/545.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/437.jpg,0.74669445
/content/gdrive/MyDrive/9517 project/data/test/River/573.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/734.jpg,0.71539134
/content/gdrive/MyDrive/9517 project/data/test/River/589.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/310.jpg,0.6818088
/content/gdrive/MyDrive/9517 project/data/test/River/598.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/437.jpg,0.7533962
/content/gdrive/MyDrive/9517 project/data/test/River/638.jpg,River,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/670.jpg,0.841571
/content/gdrive/MyDrive/9517 project/data/test/River/674.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/278.jpg,0.7570216
/content/gdrive/MyDrive/9517 project/data/test/River/703.jpg,River,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/565.jpg,0.7057711
/content/gdrive/MyDrive/9517 project/data/test/River/727.jpg,River,Beach,/content/gdrive/MyDrive/9517 project/data/test/Beach/765.jpg,0.84677476
