wrong_image,true_label,predicted_label,similar_image,similarity
/content/gdrive/MyDrive/9517 project/data/test/Grassland/742.jpg,Grassland,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/099.jpg,0.72322375
/content/gdrive/MyDrive/9517 project/data/test/Highway/082.jpg,Highway,Residential,/content/gdrive/MyDrive/9517 project/data/test/Residential/175.jpg,0.7694812
/content/gdrive/MyDrive/9517 project/data/test/Lake/292.jpg,Lake,River,/content/gdrive/MyDrive/9517 project/data/test/River/657.jpg,0.72513247
/content/gdrive/MyDrive/9517 project/data/test/Mountain/232.jpg,Mountain,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/760.jpg,0.68350863
/content/gdrive/MyDrive/9517 project/data/test/Mountain/730.jpg,Mountain,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/637.jpg,0.8750937
/content/gdrive/MyDrive/9517 project/data/test/Mountain/753.jpg,Mountain,River,/content/gdrive/MyDrive/9517 project/data/test/River/422.jpg,0.79099977
/content/gdrive/MyDrive/9517 project/data/test/Parking/523.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/780.jpg,0.7459475
/content/gdrive/MyDrive/9517 project/data/test/Parking/692.jpg,Parking,City,/content/gdrive/MyDrive/9517 project/data/test/City/256.jpg,0.83214474
/content/gdrive/MyDrive/9517 project/data/test/Parking/709.jpg,Parking,Port,/content/gdrive/MyDrive/9517 project/data/test/Port/521.jpg,0.74418676
/content/gdrive/MyDrive/9517 project/data/test/Railway/370.jpg,Railway,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/597.jpg,0.82491654
/content/gdrive/MyDrive/9517 project/data/test/Railway/413.jpg,Railway,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/225.jpg,0.799448
/content/gdrive/MyDrive/9517 project/data/test/Railway/526.jpg,Railway,City,/content/gdrive/MyDrive/9517 project/data/test/City/572.jpg,0.7137127
/content/gdrive/MyDrive/9517 project/data/test/Railway/589.jpg,Railway,City,/content/gdrive/MyDrive/9517 project/data/test/City/215.jpg,0.69947827
/content/gdrive/MyDrive/9517 project/data/test/River/369.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/354.jpg,0.7403583
/content/gdrive/MyDrive/9517 project/data/test/River/638.jpg,River,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/056.jpg,0.80487025
/content/gdrive/MyDrive/9517 project/data/test/River/657.jpg,River,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/292.jpg,0.72513247
